component,relative_path,source_path,dest_path,sha256,bytes,reason
rust-alloc-vec,rust-alloc-vec/vec/cow.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/cow.rs,rust-alloc-vec/vec/cow.rs,1f8c05b7e892832237a0f88825e3806f46ef69e78555b50260f5ee24f4038bc2,1901,complete Rust 1.96 library/alloc/src/vec source for alloc::vec review
rust-alloc-vec,rust-alloc-vec/vec/drain.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/drain.rs,rust-alloc-vec/vec/drain.rs,a0db920c6c7282cc331ab7ef87973336f72a9317f710015494a85fe70c23ab44,8897,complete Rust 1.96 library/alloc/src/vec source for alloc::vec review
rust-alloc-vec,rust-alloc-vec/vec/extract_if.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/extract_if.rs,rust-alloc-vec/vec/extract_if.rs,d12c2600203936735b761d04eeb7cc520e8aeb91f699e9f1174f42d3af19ea43,5673,complete Rust 1.96 library/alloc/src/vec source for alloc::vec review
rust-alloc-vec,rust-alloc-vec/vec/in_place_collect.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/in_place_collect.rs,rust-alloc-vec/vec/in_place_collect.rs,4d3bb7a31de144bcb7470b371c5643f0739466c731f11cd7924e1fc951932c4b,19219,complete Rust 1.96 library/alloc/src/vec source for alloc::vec review
rust-alloc-vec,rust-alloc-vec/vec/in_place_drop.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/in_place_drop.rs,rust-alloc-vec/vec/in_place_drop.rs,39613702ced1246a9e3195d91b9228888d2dd3fcb33a54e862f08619272a1968,1482,complete Rust 1.96 library/alloc/src/vec source for alloc::vec review
rust-alloc-vec,rust-alloc-vec/vec/into_iter.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/into_iter.rs,rust-alloc-vec/vec/into_iter.rs,87132ec3ed996091ac45b47649a288e812d40345076f9ff7f0771fb7ca51e1df,21541,complete Rust 1.96 library/alloc/src/vec source for alloc::vec review
rust-alloc-vec,rust-alloc-vec/vec/is_zero.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/is_zero.rs,rust-alloc-vec/vec/is_zero.rs,3fa7164a00d8309f78291c90cc0f60123e781a42f2d14ce6c81c4af64768f50a,6665,complete Rust 1.96 library/alloc/src/vec source for alloc::vec review
rust-alloc-vec,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,rust-alloc-vec/vec/mod.rs,cd69f6ef4cf398ff6665c5f3ea428b652755d0e0aea004402e076f6af6a56400,165898,complete Rust 1.96 library/alloc/src/vec source for alloc::vec review
rust-alloc-vec,rust-alloc-vec/vec/partial_eq.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/partial_eq.rs,rust-alloc-vec/vec/partial_eq.rs,9efd82bcd3d29e28089420dabae84f821735cffee8cf3a227cea4df433bb571c,2637,complete Rust 1.96 library/alloc/src/vec source for alloc::vec review
rust-alloc-vec,rust-alloc-vec/vec/peek_mut.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/peek_mut.rs,rust-alloc-vec/vec/peek_mut.rs,806071876a3505c4ac5ab486bf3c419c221fe5ea440255cfc0905de3e02799c9,1939,complete Rust 1.96 library/alloc/src/vec source for alloc::vec review
rust-alloc-vec,rust-alloc-vec/vec/set_len_on_drop.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/set_len_on_drop.rs,rust-alloc-vec/vec/set_len_on_drop.rs,907299e0830aa6b5912100ae82c02bb9deaa9dea39f6121a73342fd4b2dbd597,864,complete Rust 1.96 library/alloc/src/vec source for alloc::vec review
rust-alloc-vec,rust-alloc-vec/vec/spec_extend.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/spec_extend.rs,rust-alloc-vec/vec/spec_extend.rs,a0816ad0f39b947889771bf06930bf8e0c4ce794846d83863349697ec7c415ec,1433,complete Rust 1.96 library/alloc/src/vec source for alloc::vec review
rust-alloc-vec,rust-alloc-vec/vec/spec_from_elem.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/spec_from_elem.rs,rust-alloc-vec/vec/spec_from_elem.rs,062e397b30aa43082d2f8abf3b8ec9869de2efd6ca573e1113a2ac5f4729489c,2210,complete Rust 1.96 library/alloc/src/vec source for alloc::vec review
rust-alloc-vec,rust-alloc-vec/vec/spec_from_iter.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/spec_from_iter.rs,rust-alloc-vec/vec/spec_from_iter.rs,393d1f28cfc8d28d80e142cef6b612aae9b484160969cfa0c9f97bb894534807,2330,complete Rust 1.96 library/alloc/src/vec source for alloc::vec review
rust-alloc-vec,rust-alloc-vec/vec/spec_from_iter_nested.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/spec_from_iter_nested.rs,rust-alloc-vec/vec/spec_from_iter_nested.rs,f3c1a06f43734a65e102b6a107e2fd5adadd7d94d9a226d6ffe1610d1e7e1466,2380,complete Rust 1.96 library/alloc/src/vec source for alloc::vec review
rust-alloc-vec,rust-alloc-vec/vec/splice.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/splice.rs,rust-alloc-vec/vec/splice.rs,1d2fe169c4c4ed18c8407378052e66bae92d55d769ebbe509d37e80dfc35e9e4,4908,complete Rust 1.96 library/alloc/src/vec source for alloc::vec review
rust-alloc-adjacent,rust-alloc-adjacent/alloc.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/alloc.rs,rust-alloc-adjacent/alloc.rs,afc8eece58d63942328cab563fad1b180b50afdadc9141d40e5d98a6df90cd70,22506,"allocator traits, Global allocator, and allocation functions referenced by Vec/RawVec"
rust-alloc-adjacent,rust-alloc-adjacent/boxed.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/boxed.rs,rust-alloc-adjacent/boxed.rs,65328c0eadf79feaea5b045f545315ee31f927756d63abfc889d2508a12e15fa,85983,Box conversion/leak/boxed-slice adjacent source referenced by Vec APIs
rust-alloc-adjacent,rust-alloc-adjacent/collections/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/collections/mod.rs,rust-alloc-adjacent/collections/mod.rs,b2b61bd326447857d96ed5a2787434325a5f899763cf611682f78d98f78e0611,5876,TryReserveError/TryReserveErrorKind used by Vec capacity APIs
rust-alloc-adjacent,rust-alloc-adjacent/raw_vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/raw_vec/mod.rs,rust-alloc-adjacent/raw_vec/mod.rs,39ae2ccc61fd3bad236978201cda2ad97599403eb103de7eafdf6d7f6dd8b6f3,35505,RawVec allocation/capacity backing used by Vec
vstd-baseline,vstd-baseline/std_specs/vec.rs,/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/vstd/std_specs/vec.rs,vstd-baseline/std_specs/vec.rs,cf4ac0699bde9056f4c2a6fbd9fc3b55409cd552aeab1b33ca359a47c0b5e8b7,17068,vstd Vec/capacity assume_specification baseline
vstd-baseline,vstd-baseline/std_specs/capacity.rs,/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/vstd/std_specs/capacity.rs,vstd-baseline/std_specs/capacity.rs,0540fe45ad37ef902f07b8bc714d8e6bfc5dd62e51757ff1e3ab5fcd2336563b,7160,vstd Vec/capacity assume_specification baseline
survey-results,results/modules.csv,/home/chentianyu/nanvix-rust-std-spec-survey/results/modules.csv,results/modules.csv,78e7af258b0d433bda1edb9b3dd7f35ac905c3d49da861991f9cb71bef4bf1c1,6400,local frozen copy of modules.csv/coverage.csv authority for alloc::vec inventory
survey-results,results/coverage.csv,/home/chentianyu/nanvix-rust-std-spec-survey/results/coverage.csv,results/coverage.csv,5ee04f6febbd7a80bbdd817191b762be5e56f0f9be4ade31be2b664246787230,3297203,local frozen copy of modules.csv/coverage.csv authority for alloc::vec inventory
